,date,steps,distance,latitude,longitude
284,20170314,14209,9946.0,33.95853237731105,-118.4369816413345
285,20170315,9963,7989.0,33.95853237731105,-118.4369816413345
286,20170316,6826,5015.0,33.95853237731105,-118.4369816413345
287,20170317,8182,5349.0,33.95853237731105,-118.4369816413345
288,20170318,4054,4191.0,33.95853237731105,-118.4369816413345
289,20170319,1541,1358.0,33.95853237731105,-118.4369816413345
290,20170320,3116,2946.0,33.95853237731105,-118.4369816413345
291,20170321,5479,4829.0,33.95853237731105,-118.4369816413345
292,20170322,2751,1751.0,33.95853237731105,-118.4369816413345
293,20170323,5949,4284.0,33.95853237731105,-118.4369816413345
294,20170324,3745,2926.0,33.95853237731105,-118.4369816413345
295,20170325,4937,4257.0,33.95853237731105,-118.4369816413345
296,20170326,1344,933.0,33.95853237731105,-118.4369816413345
297,20170327,1918,1943.0,33.95853237731105,-118.4369816413345
298,20170328,5133,4114.0,33.95853237731105,-118.4369816413345
299,20170329,5985,4488.0,33.95853237731105,-118.4369816413345
300,20170330,8571,6512.0,32.703191,-117.15861
301,20170331,6640,5380.0,33.95853237731105,-118.4369816413345
302,20170401,3716,2634.0,33.95853237731105,-118.4369816413345
303,20170402,4815,3239.0,33.95853237731105,-118.4369816413345
304,20170403,4273,2909.0,33.95853237731105,-118.4369816413345
305,20170404,4497,3054.0,33.95853237731105,-118.4369816413345
306,20170405,5117,3427.0,33.95853237731105,-118.4369816413345
307,20170406,4602,3373.0,33.95853237731105,-118.4369816413345
308,20170407,3506,2413.0,33.95853237731105,-118.4369816413345
309,20170408,1666,1817.0,33.95853237731105,-118.4369816413345
310,20170409,3129,2316.0,33.95853237731105,-118.4369816413345
311,20170410,7914,5567.0,33.95853237731105,-118.4369816413345
312,20170411,2856,2050.0,33.95853237731105,-118.4369816413345
313,20170412,5479,3944.0,33.95853237731105,-118.4369816413345
314,20170413,7404,4947.0,33.95853237731105,-118.4369816413345
315,20170414,9622,7308.0,33.95853237731105,-118.4369816413345
316,20170415,8422,5547.0,33.95853237731105,-118.4369816413345
317,20170416,8230,5851.0,33.95853237731105,-118.4369816413345
318,20170417,7197,5398.0,33.95853237731105,-118.4369816413345
319,20170418,12750,9491.0,37.422926,-122.15125
320,20170419,8537,6379.0,37.422926,-122.15125
321,20170420,6185,4607.0,37.422926,-122.15125
322,20170421,10498,7985.0,47.607819,-122.32775
323,20170422,5142,3825.0,47.607819,-122.32775
324,20170423,6962,6673.0,33.95853237731105,-118.4369816413345
325,20170424,7922,5948.0,33.95853237731105,-118.4369816413345
326,20170425,4421,2999.0,33.95853237731105,-118.4369816413345
327,20170426,9847,6709.0,33.95853237731105,-118.4369816413345
328,20170427,4445,3020.0,33.95853237731105,-118.4369816413345
329,20170428,7166,5215.0,33.95853237731105,-118.4369816413345
330,20170429,7387,5340.0,37.86237,-122.27553
331,20170430,11766,8699.0,37.86237,-122.27553
332,20170501,6355,4656.0,37.438612,-122.13791
333,20170502,7720,5844.0,37.438612,-122.13791
334,20170503,4136,2434.0,33.95853237731105,-118.4369816413345
335,20170504,8941,6705.0,33.95853237731105,-118.4369816413345
336,20170505,5335,3586.0,34.415806,-119.71909
337,20170506,4452,2969.0,34.415806,-119.71909
338,20170507,8463,5895.0,34.415806,-119.71909
339,20170508,8393,5815.0,33.95853237731105,-118.4369816413345
340,20170509,6477,4578.0,33.95853237731105,-118.4369816413345
341,20170510,3742,2488.0,33.95853237731105,-118.4369816413345
342,20170511,4454,3262.0,33.95853237731105,-118.4369816413345
343,20170512,8116,5838.0,33.95853237731105,-118.4369816413345
344,20170513,4359,2842.0,33.38863,-111.90983
345,20170514,2837,2011.0,33.38863,-111.90983
346,20170515,8666,5825.0,33.95853237731105,-118.4369816413345
347,20170516,4624,3144.0,33.95853237731105,-118.4369816413345
348,20170517,5995,4183.0,33.95853237731105,-118.4369816413345
349,20170518,5452,4348.0,33.95853237731105,-118.4369816413345
350,20170519,9988,7294.0,33.95853237731105,-118.4369816413345
351,20170520,3882,2621.0,33.95853237731105,-118.4369816413345
352,20170521,2893,2058.0,33.95853237731105,-118.4369816413345
353,20170522,9465,6570.0,33.95853237731105,-118.4369816413345
354,20170523,5081,3711.0,33.95853237731105,-118.4369816413345
355,20170524,4904,3435.0,33.95853237731105,-118.4369816413345
356,20170525,6064,4423.0,33.95853237731105,-118.4369816413345
357,20170526,3852,2661.0,33.95853237731105,-118.4369816413345
358,20170527,4653,3076.0,33.95853237731105,-118.4369816413345
359,20170528,8925,7235.0,33.95853237731105,-118.4369816413345
360,20170529,4740,3245.0,33.95853237731105,-118.4369816413345
361,20170530,5540,3733.0,33.95853237731105,-118.4369816413345
362,20170531,9118,6572.0,39.74787,-104.9926799
363,20170601,9907,7208.0,39.74787,-104.9926799
364,20170602,10876,7584.0,39.74787,-104.9926799
365,20170603,8482,5615.0,33.95853237731105,-118.4369816413345
366,20170604,14533,10322.0,33.95853237731105,-118.4369816413345
367,20170605,5583,3967.0,33.95853237731105,-118.4369816413345
368,20170606,4339,2956.0,33.95853237731105,-118.4369816413345
369,20170607,8668,5722.0,33.95853237731105,-118.4369816413345
370,20170608,5821,4118.0,48.42249,-123.36348
371,20170609,3315,2276.0,48.42249,-123.36348
372,20170610,7193,5307.0,48.42249,-123.36348
373,20170611,2209,1519.0,33.95853237731105,-118.4369816413345
374,20170612,11698,8094.0,33.95853237731105,-118.4369816413345
375,20170613,6123,4117.0,33.95853237731105,-118.4369816413345
376,20170614,4644,3092.0,33.95853237731105,-118.4369816413345
377,20170615,9656,6733.0,33.95853237731105,-118.4369816413345
378,20170616,4160,2876.0,33.95853237731105,-118.4369816413345
379,20170617,8593,5949.0,33.95853237731105,-118.4369816413345
380,20170618,10555,7844.0,33.95853237731105,-118.4369816413345
381,20170619,7200,5121.0,33.95853237731105,-118.4369816413345
382,20170620,4733,3525.0,33.95853237731105,-118.4369816413345
383,20170621,5085,3760.0,38.98372,-77.09427
384,20170622,6451,4911.0,38.98372,-77.09427
385,20170623,6612,4934.0,38.98372,-77.09427
386,20170624,6509,4697.0,40.67245017657333,-73.96151761657518
387,20170625,15297,10927.0,40.67245017657333,-73.96151761657518
388,20170626,5993,4123.0,40.67245017657333,-73.96151761657518
389,20170627,5438,4174.0,33.95853237731105,-118.4369816413345
390,20170628,3716,2506.0,33.95853237731105,-118.4369816413345
391,20170629,5991,3954.0,33.95853237731105,-118.4369816413345
392,20170630,3292,2127.0,33.95853237731105,-118.4369816413345
393,20170701,6305,4653.0,33.95853237731105,-118.4369816413345
394,20170702,4815,3156.0,33.95853237731105,-118.4369816413345
395,20170703,10344,7300.0,33.95853237731105,-118.4369816413345
396,20170704,8739,6842.0,33.95853237731105,-118.4369816413345
397,20170705,4885,3450.0,33.95853237731105,-118.4369816413345
398,20170706,2731,1888.0,33.95853237731105,-118.4369816413345
399,20170707,3585,2519.0,33.95853237731105,-118.4369816413345
400,20170708,2339,1433.0,33.95853237731105,-118.4369816413345
401,20170709,7451,5478.0,33.95853237731105,-118.4369816413345
402,20170710,11167,7660.0,33.95853237731105,-118.4369816413345
403,20170711,4474,3229.0,33.95853237731105,-118.4369816413345
404,20170712,7965,5852.0,33.95853237731105,-118.4369816413345
405,20170713,6232,4487.0,33.95853237731105,-118.4369816413345
406,20170714,5699,3940.0,33.95853237731105,-118.4369816413345
407,20170715,8813,5788.0,33.95853237731105,-118.4369816413345
408,20170716,4380,3176.0,33.95853237731105,-118.4369816413345
409,20170717,7021,4886.0,33.95853237731105,-118.4369816413345
